"1","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\UEBIssued.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"2","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\ACTUARY\Annual Report\DBLAwarded.sql","MANAGER  AC","192","ACTUARY"
"3","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\ACTUARY\Annual Report\InvalidityBenefits&AssistancesAwarded.sql","MANAGER  AC","192","ACTUARY"
"4","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\ActiveEmployees.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"5","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\DBLAwarded.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"6","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\NonSurvivorPensionersInPayment.sql","MANAGER  AC","192","ACTUARY"
"7","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\NonSurvivorPensionersInPayment.sql","DEPARTMENT HEAD LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"8","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\SurvivorDisbursements(Issued&Paid).sql","SUPERVISOR LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"9","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Audit\V3_Sysadmin_User_Activity.sql","EXECUTIVE - IT  E","179","EXECUTIVE"
"10","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Manual Cheque Recon\ManualCheques_All_Manuals_In_Range.sql","DEPARTMENT HEAD A","184","AUDIT"
"11","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\workflow_steps_log.sql","SUPERVISOR LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"12","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\Dependents_with_Contributions.sql","DEPARTMENT HEAD LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"13","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Manual Cheque Recon\ManualCheques_Overlapping_Manuals.sql","NON SUPERVISOR IT","185","IT"
"14","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\ContributingEmployers(ExcludeBenload).sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"15","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Registration\Count_Processed_Cards.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"16","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\LTBClaimProductivity_2ndChecker(Summary).sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"17","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Contributions\Duplicate_adjusted_c10_summary.sql","SUPERVISOR A","184","AUDIT"
"18","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Contributions\Get_Open_Confirm_Contrib_Steps.sql","DEPARTMENT HEAD CP","182","CONTRIBUTION PROCESSING"
"19","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\SE GOV UEA\get_all_nib_entered_applicant_bank_accounts.sql","SUPERVISOR LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"20","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Audit\postings_by_a_user.sql","NON SUPERVISOR A","184","AUDIT"
"21","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\MaternityGrantPayments.sql","MANAGER  AC","192","ACTUARY"
"22","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\STB\AverageTimeNOTPaid(STB).sql","DEPARTMENT HEAD STB","186","SHORT TERM BENEFIT"
"23","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Verifications\verifications_completed_by_the_pensions_and_verifications_department.sql","NON SUPERVISOR PV","198","PENSIONS_VERIFICATION"
"24","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Get_Surv_Duplicate_Dependents.sql","DEPARTMENT HEAD A","184","AUDIT"
"25","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Budget\Installment_Agreements_Paid.sql","MANAGER  AC","192","ACTUARY"
"26","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\ContributingEmployers(ExcludeBenload).sql","MANAGER  AC","192","ACTUARY"
"27","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\LTBClaimProductivity_2ndChecker(Average).sql","NON SUPERVISOR LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"28","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\LTBClaimProductivity_Processed(Summary).sql","NON SUPERVISOR LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"29","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Registration\Count_Expired_Cards.sql","SUPERVISOR R","160","REGISTRATION"
"30","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\LTBClaimProductivity_Processed(Details).sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"31","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\IT\ESS\ESS C10 Reports.sql","DIRECTOR  E","179","EXECUTIVE"
"32","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\LTB\SE GOV UEA\get_all_apps_pending_payment.sql","DEPARTMENT HEAD LTB","187","LONG TERM BENEFIT or CENTRAL BENEFIT"
"33","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Benefits\STB\UEB_3rd_Party_Setup_to_Remove.sql","SUPERVISOR STB","186","SHORT TERM BENEFIT"
"34","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\IT\Employer_Last_Posted_C10_Within_Date_Range.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"35","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\DBLAwarded.sql","MANAGER  AC","192","ACTUARY"
"36","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\UEBPaid.sql","MANAGER  AC","192","ACTUARY"
"37","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\UEBIssuedAndPaid.sql","MANAGER  AC","192","ACTUARY"
"38","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\NewRegistrations(Employers).sql","MANAGER  AC","192","ACTUARY"
"39","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\STBBenefits&AssistancesReceived.sql","MANAGER  AC","192","ACTUARY"
"40","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\SurvivorsPensionersInPayment.sql","MANAGER  AC","192","ACTUARY"
"41","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Annual Report\MaternityGrantPayments.sql","EXECUTIVE - OPERATIONS   E","179","EXECUTIVE"
"42","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Audit\EscrowContributionsByEmployee.sql","DEPARTMENT HEAD A","184","AUDIT"
"43","\\nib-bahamas\nib_dfs\vitech\sql scripts\querytool\Actuary\Get_LTB_Disbursement_Pay_Periods.sql","MANAGER  AC","192","ACTUARY"
